"cidade","doenca","quantidade"
"São José do Campestre","Outros tipos de parto único espontâneo",8
"São José do Campestre","Cisto pilonidal com abscesso",1
"São José do Campestre","Cistocele",25
"São José do Campestre","Anemia nutricional não especificada",1
"São José do Campestre","Obstrução do trabalho de parto devida a desproporção feto-pélvica",3
"São José do Campestre","Aborto espontâneo - incompleto",7
"São José do Campestre","Infecção intestinal bacteriana não especificada",1
"São José do Campestre","Neoplasia maligna da trompa de Falópio",0
"São José do Campestre","Parto por cesariana eletiva",10
"São José do Campestre","Hérnia umbilical com obstrução",11
"São José do Campestre","Sialadenite",3
"São José do Campestre","Outras enterites virais",63
"São José do Campestre","Infecção estreptocócica de localização não especificada",3
"São José do Campestre","Outros acidentes isquêmicos cerebrais transitórios e síndromes correlatas",3
"São José do Campestre","Diabetes mellitus insulino-dependente - com complicações circulatórias periféricas",1
"São José do Campestre","Transtornos não especificados dos glóbulos brancos",1
"São José do Campestre","Aderências peritoniais",1
"São José do Campestre","Parto por cesariana de emergência",22
"São José do Campestre","Púrpura trombocitopênica idiopática",1
"São José do Campestre","Septicemia não especificada",2
"São José do Campestre","Neoplasia maligna da mama com lesão invasiva",1
"São José do Campestre","Parto espontâneo cefálico",65
"São José do Campestre","Poliartropatia inflamatória",1
"São José do Campestre","Diabetes mellitus não especificado - com complicações circulatórias periféricas",1
"São José do Campestre","Pneumonia bacteriana não especificada",1
"São José do Campestre","Trabalho de parto e parto complicados por vasa praevia",2
"São José do Campestre","Hérnia inguinal unilateral ou não especificada",36
"São José do Campestre","Calculose da vesícula biliar com outras formas de colecistite",3
"São José do Campestre","Outras afecções especificadas da pele e do tecido subcutâneo",5
"São José do Campestre","Outros transtornos especificados dos órgãos genitais masculinos",1
"São José do Campestre","Outras colelitíases",1
"São José do Campestre","Outros transtornos especificados do aparelho urinário",1
"São José do Campestre","Outras doenças bacterianas especificadas",1
"São José do Campestre","Retenção urinária",1
"São José do Campestre","Infecção estafilocócica de localização não especificada",5
"São José do Campestre","Parto único espontâneo",42
"São José do Campestre","Outros cistos ovarianos e os não especificados",1
"São José do Campestre","Hipertrofia do prepúcio",4
"São José do Campestre","Infecção do trato urinário de localização não especificada",12
"São José do Campestre","Transtorno depressivo recorrente",0
"São José do Campestre","Outros transtornos da placenta",1
"São José do Campestre","Hemorróidas externas sem complicação",1
"São José do Campestre","Esquizofrenia simples",1
"São José do Campestre","Transtorno afetivo bipolar",4
"São José do Campestre","Esquizofrenia paranóide",17
"São José do Campestre","Fratura do colo do fêmur",5
"São José do Campestre","Diarréia e gastroenterite de origem infecciosa presumível",2
"São José do Campestre","Dengue [dengue clássico]",1
"São José do Campestre","Calculose da vesícula biliar com colicistite aguda",25
"São José do Campestre","Neoplasia benigna do útero",7
"São José do Campestre","Outra hidrocele",5
"São José do Campestre","Neoplasia lipomatosa benigna da pele e do tecido subcutâneo da cabeça",3
"São José do Campestre","Outras gastrites",2
"São José do Campestre","Fratura das diáfises do rádio e do cúbito [ulna]",1
"São José do Campestre","Outros descolamentos da retina",1
"São José do Campestre","Edema cerebral traumático",1
"São José do Campestre","Obstrução do duodeno",1
"São José do Campestre","Cirrose hepática alcoólica",2
"São José do Campestre","Outra insuficiência renal crônica",1
"São José do Campestre","Neoplasia maligna da porção central da mama",1
"São José do Campestre","Traumatismo do cólon",1
"São José do Campestre","Hiperplasia da próstata",3
"São José do Campestre","Fratura de outras partes e de partes não especificadas do punho e da mão",1
"São José do Campestre","Seguimento envolvendo remoção de placa de fratura e outros dispositivos de fixação interna",2
"São José do Campestre","Outras coxartroses pós-traumáticas",1
"São José do Campestre","Outras formas de doença isquêmica aguda do coração",1
"São José do Campestre","Outras esquizofrenias",2
"São José do Campestre","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de dependência",3
"São José do Campestre","Transtornos mentais e comportamentais devidos ao uso de álcool - transtorno psicótico",0
"São José do Campestre","Outras poliartroses",1
"São José do Campestre","Luxação congênita unilateral do quadril",1
"São José do Campestre","Outras deformidades da orelha",1
"São José do Campestre","Insuficiência cardíaca congestiva",6
"São José do Campestre","Linfoma não-Hodgkin difuso",0
"São José do Campestre","Leiomioma subseroso do útero",0
"São José do Campestre","Neoplasia maligna do colo do útero",2
"São José do Campestre","Neoplasia de comportamento incerto ou desconhecido do ovário",1
"São José do Campestre","Neoplasia lipomatosa benigna da pele e tecido subcutâneo de outras localizações e de localizações não especificadas",3
"São José do Campestre","Transtornos inflamatórios da mama",2
"São José do Campestre","Outros tipos de parto único por cesariana",2
"São José do Campestre","Causas desconhecidas e não especificadas de morbidade",12
"São José do Campestre","Trabalho de parto e parto complicados por cordão curto",1
"São José do Campestre","Gastrite crônica",1
"São José do Campestre","Epilepsia",3
"São José do Campestre","Diabetes mellitus não especificado - com complicações não especificadas",3
"São José do Campestre","Doença do esôfago",1
"São José do Campestre","Pneumonia não especificada",14
"São José do Campestre","Outras gastrites agudas",2
"São José do Campestre","Asma não especificada",15
"São José do Campestre","Desnutrição protéico-calórica não especificada",14
"São José do Campestre","Trabalho de parto prolongado",1
"São José do Campestre","Infecção viral não especificada",1
"São José do Campestre","Nefrite túbulo-intersticial crônica não especificada",1
"São José do Campestre","Leiomioma do útero",2
"São José do Campestre","Outras doenças da glândula de Bartholin",1
"São José do Campestre","Cisto da glândula de Bartholin",1
"São José do Campestre","Outros abscessos da faringe",1
"São José do Campestre","Calculose de via biliar sem colangite ou colecistite",3
"São José do Campestre","Hiperplasia adenomatosa endometrial",0
"São José do Campestre","Doença pelo HIV resultando em encefalopatia",2
"São José do Campestre","Efeito tóxico do veneno de serpente",9
"São José do Campestre","Peritonite aguda",1
"São José do Campestre","Traumatismo cerebral focal",2
"São José do Campestre","Bexiga neuropática não-inibida não classificada em outra parte",1
"São José do Campestre","Doença pulmonar obstrutiva crônica com infecção respiratória aguda do trato respiratório inferior",1
"São José do Campestre","Neoplasia maligna secundária e não especificada dos gânglios linfáticos da cabeça",1
"São José do Campestre","Esterilização",2
"São José do Campestre","Nódulo mamário não especificado",3
"São José do Campestre","Trabalho de parto e parto complicados por sofrimento fetal",0
"São José do Campestre","Outras anormalidades da contração uterina",0
"São José do Campestre","Hérnia ventral sem obstrução ou gangrena",3
"São José do Campestre","Pólipo do corpo do útero",1
"São José do Campestre","Erisipela",3
"São José do Campestre","Gravidez prolongada",1
"São José do Campestre","Anemia não especificada",0
"São José do Campestre","Hipertensão essencial (primária)",12
"São José do Campestre","Bronquite aguda não especificada",4
"São José do Campestre","Episódio depressivo moderado",1
"São José do Campestre","Gastrite não especificada",6
"São José do Campestre","Outras septicemias especificadas",1
"São José do Campestre","Outros recém-nascidos de pré-termo",1
"São José do Campestre","Tuberculose pulmonar",1
"São José do Campestre","Fratura da rótula [patela]",0
"São José do Campestre","Fratura da extremidade inferior do úmero",1
"São José do Campestre","Neoplasia maligna dos ureteres",1
"São José do Campestre","Fratura do maléolo lateral",3
"São José do Campestre","Afecções da pele e do tecido subcutâneo",2
"São José do Campestre","Cisto ovariano de desenvolvimento",2
"São José do Campestre","Parto por cesariana",7
"São José do Campestre","Infecção bacteriana não especificada",3
"São José do Campestre","Neoplasia benigna de outras partes do útero",8
"São José do Campestre","Úlcera gastrojejunal - aguda com hemorragia",2
"São José do Campestre","Neoplasia benigna de localização não especificada",13
"São José do Campestre","Salpingite e ooforite não especificadas",2
"São José do Campestre","Fratura da diáfise do fêmur",2
"São José do Campestre","Luxação da articulação do tornozelo",2
"São José do Campestre","Neoplasia de comportamento incerto ou desconhecido da bexiga",2
"São José do Campestre","Apendicite aguda sem outra especificação",4
"São José do Campestre","Outras doenças especificadas do intestino",2
"São José do Campestre","Hérnia umbilical sem obstrução ou gangrena",3
"São José do Campestre","Neoplasia de comportamento incerto ou desconhecido da próstata",3
"São José do Campestre","Nevo melanocítico de outras partes e de partes não especificadas da face",1
"São José do Campestre","Neoplasia benigna da glândula parótida",8
"São José do Campestre","Outras pneumonias bacterianas",2
"São José do Campestre","Outros transtornos respiratórios pós-procedimentos",1
"São José do Campestre","Úlcera de decúbito",2
"São José do Campestre","Pneumoconiose não especificada",1
"São José do Campestre","Pneumonia viral não especificada",1
"São José do Campestre","Traumatismo do rim",1
"São José do Campestre","Doador de medula óssea",0
"São José do Campestre","Leucemia linfoblástica aguda",1
"São José do Campestre","Angina instável",2
"São José do Campestre","Neoplasia de comportamento incerto ou desconhecido da medula espinhal",1
"São José do Campestre","Trabalho de parto precipitado",1
"São José do Campestre","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de abstinência com delirium",2
"São José do Campestre","Fratura da diáfise da tíbia",2
"São José do Campestre","Neoplasia maligna da glândula tireóide",0
"São José do Campestre","Gangrena gasosa",1
"São José do Campestre","Transtornos do desenvolvimento dos maxilares",1
"São José do Campestre","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome [estado] de abstinência",2
"São José do Campestre","Insuficiência respiratória do recém-nascido",1
"São José do Campestre","Fratura da extremidade distal do rádio e do cúbito [ulna]",1
"São José do Campestre","Fenda palatina não especificada",1
"São José do Campestre","Fratura da clavícula",2
"São José do Campestre","Doença do pâncreas",1
"São José do Campestre","Fratura da extremidade superior do úmero",1
